Episodes,Goal Rates
1,0.0
2,0.5
3,0.33329999446868896
4,0.5
5,0.4000000059604645
6,0.33329999446868896
7,0.2856999933719635
8,0.375
9,0.33329999446868896
10,0.4000000059604645
11,0.3635999858379364
12,0.41670000553131104
13,0.3846000134944916
14,0.428600013256073
15,0.4000000059604645
16,0.4375
17,0.41179999709129333
18,0.3889000117778778
19,0.421099990606308
20,0.44999998807907104
21,0.428600013256073
22,0.4544999897480011
23,0.43479999899864197
24,0.45829999446868896
25,0.4399999976158142
26,0.42309999465942383
27,0.4074000120162964
28,0.428600013256073
29,0.4138000011444092
30,0.4332999885082245
31,0.41940000653266907
32,0.4375
33,0.42419999837875366
34,0.44119998812675476
35,0.428600013256073
36,0.44440001249313354
37,0.4323999881744385
38,0.4474000036716461
39,0.4359000027179718
40,0.44999998807907104
41,0.4390000104904175
42,0.45239999890327454
43,0.44190001487731934
44,0.4544999897480011
45,0.44440001249313354
46,0.45649999380111694
47,0.44679999351501465
48,0.45829999446868896
