Episodes,Cumulative Number of Goals
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,3.0
36,4.0
37,4.0
38,4.0
39,4.0
40,4.0
41,5.0
42,5.0
43,5.0
44,6.0
45,6.0
46,6.0
47,7.0
48,7.0
49,7.0
50,7.0
51,7.0
52,7.0
53,7.0
54,7.0
55,7.0
56,7.0
57,7.0
58,8.0
59,8.0
60,8.0
61,8.0
62,8.0
63,8.0
64,8.0
65,8.0
66,9.0
67,9.0
68,9.0
69,9.0
70,9.0
71,9.0
72,10.0
73,10.0
74,11.0
75,11.0
76,11.0
77,11.0
78,11.0
79,11.0
80,11.0
81,12.0
82,12.0
83,12.0
84,12.0
85,13.0
86,13.0
87,13.0
88,14.0
89,14.0
90,15.0
91,15.0
92,15.0
93,15.0
94,16.0
95,17.0
96,17.0
97,18.0
98,18.0
99,19.0
100,19.0
101,19.0
102,20.0
103,20.0
104,21.0
105,21.0
106,21.0
107,22.0
108,22.0
109,22.0
110,22.0
111,23.0
112,24.0
113,24.0
114,24.0
115,24.0
116,24.0
117,25.0
118,25.0
119,26.0
120,26.0
121,26.0
122,27.0
123,27.0
124,27.0
125,27.0
126,28.0
127,28.0
128,28.0
129,29.0
130,30.0
131,30.0
132,31.0
133,31.0
134,31.0
135,31.0
136,31.0
137,32.0
138,32.0
139,32.0
140,32.0
141,32.0
142,32.0
143,32.0
144,32.0
145,32.0
146,33.0
147,33.0
148,34.0
149,34.0
150,34.0
151,34.0
152,34.0
153,34.0
154,34.0
155,34.0
156,34.0
157,35.0
158,35.0
159,35.0
160,35.0
161,35.0
162,35.0
163,36.0
164,37.0
165,37.0
166,37.0
167,38.0
168,38.0
169,39.0
170,39.0
171,39.0
172,39.0
173,39.0
174,39.0
175,39.0
176,39.0
177,39.0
178,39.0
179,39.0
180,39.0
181,40.0
182,40.0
183,40.0
184,40.0
185,41.0
186,42.0
187,43.0
188,43.0
189,44.0
190,44.0
191,44.0
192,45.0
193,45.0
194,45.0
195,45.0
196,45.0
197,45.0
198,45.0
199,46.0
200,46.0
201,47.0
202,47.0
203,47.0
204,47.0
205,47.0
206,48.0
207,49.0
208,50.0
209,50.0
210,50.0
211,51.0
212,52.0
213,52.0
214,52.0
215,52.0
216,53.0
217,54.0
218,54.0
219,54.0
220,55.0
221,56.0
222,56.0
223,57.0
224,58.0
225,59.0
226,59.0
227,59.0
228,60.0
